RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =           11     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     1.268D+03  2.731D+04
    1    2     1     0  ---    0  7.8D-04  1.0D+00  5.001D+02  2.700D+04
    2    3     0     0  con    0  1.0D+00  2.7D-01  1.371D+02  2.691D+04
    3    4     0     0  con    0  1.0D+00  1.7D-01  1.017D+02  2.689D+04
    4    5     0     0  con    0  1.0D+00  1.7D-01  8.091D+01  2.687D+04
    5    6     0     0  con    0  1.0D+00  2.9D-01  1.527D+01  2.686D+04
    6    7     0     0  con    0  1.0D+00  8.6D-02  1.353D+01  2.686D+04
    7    8     0     0  con    0  1.0D+00  3.9D-01  3.197D+01  2.685D+04
    8    9     0     0  con    0  1.0D+00  3.0D-01  2.170D+01  2.685D+04
    9   10     0     0  con    0  1.0D+00  1.6D-01  2.850D+00  2.685D+04
   10   11     0     0  con    0  1.0D+00  4.6D-02  4.779D+00  2.685D+04
   11   12     0     0  con    0  1.0D+00  4.0D-02  6.231D+00  2.685D+04
   12   13     0     0  con    0  1.0D+00  1.3D-01  1.291D+01  2.685D+04
   13   14     0     0  con    0  1.0D+00  1.4D-01  6.917D+00  2.685D+04
   14   15     0     0  con    0  1.0D+00  1.6D-01  1.981D+01  2.685D+04
   15   16     0     0  con    0  1.0D+00  2.1D-02  2.670D+00  2.685D+04
   16   17     0     0  con    0  1.0D+00  3.4D-02  2.083D+00  2.685D+04
   17   18     0     0  con    0  1.0D+00  5.0D-02  9.564D-01  2.685D+04
   18   19     0     0  con    0  1.0D+00  2.1D-01  2.345D+00  2.685D+04
   19   21     0     0  con    1  3.1D-01  5.6D-02  1.434D+00  2.685D+04
   20   22     0     0  con    0  1.0D+00  5.7D-02  1.092D+00  2.685D+04
   21   23     0     0  con    0  1.0D+00  8.7D-03  9.175D-01  2.685D+04
   22   24     0     0  con    0  1.0D+00  9.0D-02  8.233D+00  2.685D+04
   23   25     0     0  con    0  1.0D+00  2.6D-02  5.118D+00  2.685D+04
   24   26     0     0  con    0  1.0D+00  5.0D-02  2.290D+00  2.685D+04
   25   27     0     0  con    0  1.0D+00  3.8D-02  1.117D+00  2.685D+04
   26   28     0     0  con    0  1.0D+00  3.1D-02  1.347D+00  2.685D+04
   27   29     0     0  con    0  1.0D+00  2.0D-02  1.093D+00  2.685D+04
   28   30     0     0  con    0  1.0D+00  3.3D-02  1.445D+00  2.685D+04
   29   31     0     0  con    0  1.0D+00  2.4D-02  1.134D+00  2.685D+04
   30   32     0     0  con    0  1.0D+00  1.2D-02  1.020D+00  2.685D+04
   31   33     0     0  con    0  1.0D+00  8.3D-03  3.824D-01  2.685D+04
   32   34     0     0  con    0  1.0D+00  1.9D-03  6.832D-01  2.685D+04
   33   35     0     0  con    0  1.0D+00  7.4D-03  2.452D-01  2.685D+04
   34   36     0     0  con    0  1.0D+00  1.9D-02  2.354D-01  2.685D+04
   35   38     0     0  con    1  3.8D-01  1.9D-02  4.577D-01  2.685D+04
   36   39     0     0  con    0  1.0D+00  4.6D-02  3.096D+00  2.685D+04
   37   40     0     0  con    0  1.0D+00  4.8D-02  3.179D+00  2.685D+04
   38   42     0     0  con    1  1.9D-01  3.6D-02  6.012D+00  2.685D+04
   39   43     0     0  con    0  1.0D+00  1.9D-02  4.202D+00  2.685D+04
   40   44     0     0  con    0  1.0D+00  3.7D-02  3.186D+00  2.685D+04
   41   45     0     0  con    0  1.0D+00  4.3D-02  1.772D+00  2.685D+04
   42   46     0     0  con    0  1.0D+00  7.2D-03  3.096D-01  2.685D+04
   43   47     0     0  con    0  1.0D+00  1.9D-02  1.662D+00  2.685D+04
   44   48     0     0  con    0  1.0D+00  1.7D-02  2.696D-01  2.685D+04
   45   49     0     0  con    0  1.0D+00  6.0D-03  6.588D-01  2.685D+04
   46   52     0     0  con    2  1.2D-01  7.9D-04  9.295D-01  2.685D+04

CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH             

 Total User time 0.000E+00 seconds.

